occupation,occupation_index
3D Visualizer,0
Account Director,1
Account Executive,2
Account Manager,3
Accountant,4
Accounting Analyst,5
Accounting Consultant,6
Actuary,7
Administrator,8
Admissions Officer,9
Advertising Executive,10
Advertising Manager,11
Advertising Specialist,12
Advertising and PR Director,13
Advertising and PR Manager,14
Agricultural Engineer,15
Agricultural Representative,16
Agricultural Specialist,17
Agricultural and Fish Product Inspector,18
Agricultural and Natural Resource,19
Agricultural and Related Service Contractor,20
Agricultural and Related Service Manager,21
Agronomist,22
Air Traffic Control,23
Allergist,24
Ambassador,25
Ambulance Attendant,26
Anesthetist,27
Animal Husbandman,28
Animal Scientist,29
Animation Designer,30
Application Design Manager,31
Archaeologist,32
Architect,33
Architect Project Manager,34
Art Director,35
Art Teacher,36
Artisan and Craftperson,37
Artwork Coordinator,38
"Assessor, Valuator, Appraiser",39
Assistant Editor,40
Assistant Researcher,41
Astronomer,42
Attorney,43
Audio and Video Recording Technician,44
Audio/Video Broadcast & Postproduction,45
Audiologist,46
Auditor,47
Automation Engineer,48
Automotive Engineer,49
Automotive Technician,50
BOI Administrator,51
BOI Assistant Manager,52
BOI Coordinator,53
BOI Import/ Export Officer,54
BOI Officer,55
Baker,56
Banker,57
Barista,58
Barrister,59
Bartender,60
Beauty Advisor,61
Bio Engineer,62
Biochemist,63
Biological Technologist and Technician,64
Biologist,65
Biostatistician,66
Branch Manager,67
Broadcast Technician,68
Building Facilities Maintenance Staff,69
Building Manager,70
Business Analyst,71
Business Consultant,72
Business Developer,73
Business Development Manager,74
Business Development Officer,75
Business Manager,76
Business Officer,77
Business Owner,78
CAD Designer,79
CCTV Installing Technician,80
CRM Management Manager,81
Cabin Crew,82
Cable Televistion Service and Maintenance Technician,83
Call Center Representative,84
Cameraman,85
Cardiologist,86
Cardiovascular Technician,87
Career and Technology Teacher,88
Carpentry/Framing,89
Cashier,90
Category Administrative,91
Category Management,92
Category Manager,93
Chairman,94
Chef,95
Chemical Engineer,96
Chemical Technologist and Technician,97
Chemist,98
Chief Engineer,99
Chief Executive Officer,100
Chief Inspector General,101
Chief Operation Officer,102
Chief Operative Officer,103
Choreographer,104
Cinematographer,105
Civil Engineer,106
Claim Assessor,107
Cleaning Staff,108
Client Relationship,109
Clinical Coordinator,110
Clinical Laboratory Scientist,111
Clinical Research Associate,112
Clinical Researcher,113
Clinical Therapist,114
Coach,115
Collection Manager,116
Collection Representative,117
College and Other Vocational Instructor,118
Columnist,119
Commercial Manager,120
Communication Analyst,121
Communication Director,122
Communication Manager,123
Communication Specialist,124
Community Officer,125
Compliance,126
Composer,127
Computer Teacher,128
Computer and Systems Engineer,129
Computer/Telecommunication Technician,130
Conservator,131
Construction Manager,132
Construction/Building Technician,133
Constructional Contract Administrative Officer,134
Consul,135
Contractor & Supervisor,136
Contracts Administrator,137
Copy Writer,138
Corporate Social Responsibility,139
Cost Engineer,140
Cost Estimator,141
Cost Reduction,142
Court Officers & Justices of the Peace,143
Court Recorder,144
Creative Art,145
Creative Direction/Lead,146
Creative Director,147
Customer Service,148
Customer Service Manager,149
Customs Clearance Supervisor,150
DIE Designer,151
Dancer,152
Data Analytic,153
Data Engineer,154
Data Entry/Order Processor,155
Data Management,156
Data Mining Specialist,157
Data Scientist,158
Decorative & Arts,159
Dental Assistant,160
"Dental Technologist, Technician and Laboratory",161
Dentist,162
Deputy Permanent Secretary,163
Dermatologist,164
Design Drafter,165
Design Engineer,166
Dietitian and Nutritionist,167
Digital X-ray Service Engineer,168
Director,169
Director General,170
Display Designer,171
Distribution Director,172
Distribution Executive,173
Distribution Manager,174
Distribution Superintendent,175
Document Officer,176
Dog Groomer,177
Draftsman,178
Dramatist,179
Drilling Engineer,180
Driver,181
Early Childhood Care & Development Staff,182
Ecological Scientist,183
Economic Policy Researcher and Analyst,184
Economist,185
Editor,186
Educational Counsellor,187
Electric Appliance Service and Repairer,188
Electric Boiler Technician,189
Electrical Engineer,190
Electrician,191
Electronic Technician,192
Elementary Teacher,193
Elevetor Constructor and Mechanic,194
Energy Engineer,195
Enforcement Manager,196
Engine Cadet,197
Engineer,198
Engineer Manager,199
English Language Teacher,200
Environmental Engineer,201
Environmental Scientist,202
Environmental/Geological Testing & Analyst,203
Epidemiologist,204
Equipment Engineer,205
Event Coordinator,206
Event Management,207
Event Manager,208
Event Planner,209
Executive,210
Executive Manager,211
Executive Team Leader,212
Expediter,213
Facilities Engineer,214
Failure Analysis Engineer,215
Fashion Designer,216
Field Technician,217
Film Lighting Filter Installing Technician,218
Film and Video Camera Operator,219
Finance Executive - Top Level,220
Finance Manager,221
Finance Officer,222
Financial Advisor,223
Financial Broker,224
Financial Consultant,225
Financial Coordinator,226
Financial Dealer,227
Financial Director,228
Financial Planner,229
Fisherman,230
Fishing & Fishing Vessel Operation,231
Fishing Vessel Skipper,232
Fitness & Sports Trainer,233
Flight Engineer,234
Flight Operations Officer,235
Floorig/Tiling/Painting/Wallpapering,236
Flying Instructor,237
Food & Beverage Serving,238
Food Additive,239
Food Consultant,240
Food Preparation,241
Food Scientist,242
Food and Beverage Manager,243
Forester,244
Forestry Technologist and Technician,245
Fund Administrator,246
Fund Manager,247
Fundraiser,248
Game Artist,249
Game Designer,250
Game Developer,251
Game Mathematician,252
Gardener,253
Gemologist,254
General Manager,255
General Practitioner,256
Geographer,257
Geological Engineer,258
Geoscientist,259
Goldsmith,260
Government Finance Officer,261
Government Relation Specialist (BOI),262
Graphic Designer,263
Greenhouse Worker,264
Ground Attendant,265
Group Leader Technician,266
Guest Service Agent,267
Guidance Teacher,268
HR Director,269
HR Manager,270
HR Officer,271
HVAC Designer and Installator,272
Hair Cutting/Styling,273
Handicap Candidate,274
Hazardous Materials Handle,275
Health and Physical Education Teacher,276
Heavy Equipment Operator,277
Help Desk,278
Horticulturist,279
Host/Hostess,280
Human Resources Consultant,281
Hydraulic System Technician,282
Hydrologist,283
ICT,284
IT Analyst,285
IT Auditor,286
IT Consultant,287
IT Manager,288
IT Security,289
IT Specialist,290
IT Support,291
Import and Export Manager,292
Import and Export Officer,293
Incoming Quality Inspector,294
Industrial Designer,295
Industrial Engineer,296
Inspector,297
Instructor,298
Instrument Engineer,299
Instrument Repair Technician,300
