job_title,occupation_group,occupation,occupation_group_index,occupation_index
ผู้แทนฝ่ายบริหาร,Top Level Executive,Executive Manager,142,211
เภสัชกร สาขาแหลมฉบัง,Pharmacist,Pharmacist,107,413
ครูผู้สอนวิชาสุขศึกษา,Teacher,Health and Physical Education Teacher,140,276
ATC,Air Traffic Control,Air Traffic Control,7,23
Energy Monitoring Engineer,Engineering,Energy Engineer,50,195
"Medical Doctor (Wellness Centre) - Phuket, Thailand",Physician/Doctor,Physician/Doctor,110,420
"Assistant EVP  home, hardline",Secretary,Secretary,134,505
Creative Copy Writer,Advertising,Copy Writer,4,138
Nurse - Medical Affairs,Nurse,Nurse,101,380
Sale Engineer<br>(Job Code : ENG10091007),Sales,Sales Engineer,132,497
ที่ปรึกษาอาวุโส,Top Level Executive,Senior Consultant,142,509
<font color=red><b>Urgent !!!</font color></b><br>School Nurse - Sukhumvit Campus (1 Position),Nurse,Nurse,101,380
Painter,Creative Art,Painter,36,404
Transport Operation Manager (Many positions),Transportation Officer,Transportation Manager,146,567
ออกแบบ,Product Design,Industrial Designer,117,295
Supervisor,othe,other,153,596
พนักงานควบคุมการผลิต,Production,Production Control,118,446
เจ้าหน้าที่ผู้รับผิดชอบด้านพลังงานสามัญ,Engineering,Energy Engineer,50,195
production engineer(Automation),Engineering,Automation Engineer,50,48
คุณครู,Teacher,Teacher,140,545
Packaging Design & Kaizen Improvement,Research and Development,Packaging Development,128,403
พนักงานอำนวยการบิน,Air Traffic Control,Flight Operations Officer,7,235
เจ้าหน้าที่ประสานงานด้านประชาสัมพันธ์,Advertising and PR,PR Coordinator,5,398
เจ้าหน้าที่ความปลอดภัย <br>(Safety Health & Environmental Officer),Safety Officer,Occupational Health and Safety Officer,131,383
เจ้าหน้าที่ประสานงานอีเว้นท์,Event,Event Coordinator,53,206
ผู้เชี่ยวชาญพิเศษด้านสื่อสารองค์กร,Sales,Sales,132,495
Corporate Communication Manager,Advertising and PR,Communication Manager,5,123
COO,Top Level Executive,Chief Operation Officer,142,102
AE Organizer,Event,Organizer,53,394
Walk-in Interview เทสโก้โลตัส สาขาตลาดท่าดินแดง,Job Fair,Job Fair,79,313
Domestic Sale (Capital - Upcountry) - Officer,Sales,Sales,132,495
ช่างวัดสายตาประกอบแว่น,Optician,Optometrist,104,392
senior personal banker,Finance,Financial Advisor,55,223
Magazine Director,Advertising and PR,Media Director,5,356
Editor ,Writer and Editor,Editor,152,186
วิศวกรบริการ,Engineering,Service Engineer,50,510
ช่างไฟฟ้า,Electrician,Electrician,48,191
เช็คเกอร์,othe,other,153,596
Central Walk-in Interview HR Career Day,HR,HR Officer,69,271
วิศวกรโยธา,Engineering,Civil Engineer,50,106
วิสัญญีแพทย์,Physician/Doctor,Anesthetist,110,27
Product Design,Product Design,Industrial Designer,117,295
Cost Analysis,Research and Development,Cost Reduction,128,142
เจ้าหน้าที่ IE,Engineering,Process Engineer,50,438
meb ประกาศรับสมัครนักพากย์หนังสือเสียง,Voice Over,Voice Over,150,583
ออกแบบ,Product Design,Industrial Designer,117,295
Receptionist (Contractor),Customer Service,Receptionist,37,475
ช่างฝีมือ,Artisan and Craftperson,Artisan and Craftperson,14,37
เภสัชกร (Full Time/ Part Time) หลายอัตรา ไม่ต้องขึ้นเวร (ศูนย์สุขภาพและศัลยกรรมความงามครบวงจรตรัยญา),Pharmacist,Pharmacist,107,413
พนักงานขายเครื่องใช้ไฟฟ้าตัวเล็ก (SA) ยื่ห้อ Sharp กรุงไทยไฟฟ้า (ประจำที่โฮมโปร พาราไดซ์),Sales,Sales,132,495
Branch Supervisor - Cebu and Tacloban<br>(National Capital Reg - Quezon City),Business Manager,Business Manager,24,76
Fishing Staff,Fisherman,Fishing & Fishing Vessel Operation,56,231
รองปลัด,Permanent Secretary,Deputy Permanent Secretary,106,163
เจ้าหน้าที่ IT ประจำนิทรรศน์รัตนโกสินทร์,IT and Computer,IT Support,74,291
<font color=red><b>Urgently Required!!!</font></b> พนักงานประชาสัมพันธ์,Advertising and PR,PR Executive,5,400
เจ้าหน้าที่ควบคุมระบบ SMS รายการทีวี บริษัทในเครือ บริษัท กรังด์ปรีซ์ อินเตอร์เนชั่นแนล จำกัด,Marketing,Marketing Officer,88,344
"Website Manager , Media Manager , Advertising Manager , Dev Manager",Advertising and PR,Media Planner,5,357
เจ้าหน้าที่สโตร์วิศวกรรม,Warehouse Management,Store Officer,151,529
นักวิทยาศาสตร์ด้านดินและพืช,Agricultural And Natural Resources,Agronomist,6,22
ธุรการโรงเรียน (Administrator),Administration,Administrator,2,8
"Laboratory Administrative Assistant (THB 61,967.50 per month)",Lab Technician,Laboratory Assistant,80,319
เจ้าหน้าที่กีฬา,Fitness & Sports Trainer,Fitness & Sports Trainer,57,233
ช่างเขียนแบบโครงสร้างและโยธา,Design Drafter,Design Drafter,40,165
 junior social media assistant,Advertising and PR,Media Planner,5,357
General Manager-Human Resources Cluster,HR,HR Director,69,269
นักศึกษาฝึกงานและพาททาม,othe,other,153,596
Food Science,Food Scientist,Food Scientist,63,242
เจ้าหน้าที่ฝ่ายเทคโนโลยีทันตแพทย์ ช่างเทคนิคและห้องทดลอง,Medical Technologist,"Dental Technologist, Technician and Laboratory",93,161
MEDICAL TECHNOLOGIST,Medical Technologist,Medical Technologist,93,364
Sustainability Officer,Conservator,Conservator,30,131
Engineering Officer,Engineering,Engineer,50,198
ผู้จัดการเลี้ยงกุ้ง,Agricultural And Natural Resources,Agricultural and Related Service Manager,6,21
วิศวกรสนาม,Engineering,Site Engineer,50,515
Sr. Sales Engineer (Level Senior Staff/Supervisor)<br>(1 Position),Sales,Sales Engineer,132,497
Medical Assistance ประจำวอร์ดเด็ก,Medical Assistant,Medical Assistant,91,358
แพทย์แผนกอายุรกรรม,Physician/Doctor,Internal Medicine Doctor,110,302
Event Staff,Event,Event Management,53,207
Project Site Engineer,Engineering,Site Engineer,50,515
Sports Officer ,Fitness & Sports Trainer,Fitness & Sports Trainer,57,233
QA Supervisor<br>(Job Code : QAC 0810031-2),Quality Assurance,Quality Assurance,126,467
Senior Supervisor - Business Application (QAD),IT and Computer,IT Consultant,74,287
นักจิตวิทยาประจำโรงพยาบาล,Psychologist,Psychologist,122,461
เจ้าหน้าที่ดูแลด้านเงินฝากและกองทุน,Finance,Fund Administrator,55,246
Product designer,Product Design,Industrial Designer,117,295
Process Engineer,Engineering,Process Engineer,50,438
มัคคุเทศก์,Travel Agent,Tour Guide,147,559
Journalist - Sport,Writer and Editor,Journalist,152,314
RBSC Polo Club Manager,Marketing,Branch Manager,88,67
Game Graphic Designer,Multimedia,Game Designer,96,250
Committee Office Staff <br>(1 Position),Top Level Executive,Chairman,142,94
Scientist,Scientist,Scientist,133,503
English & Chinese Teachers and Assistants,Lecturer,Teacher Assistant,83,546
TAX MANAGER – RETAIL ( 80 – 150K),Lawyer,Tax Manager,82,544
Product Compliance Engineer,Engineering,Product Specialist - Engineer,50,444
ครูสอนบิน,Flying Instructor,Flying Instructor,59,237
News Reporter (Sports News)/ผู้สื่อข่าว (โต๊ะข่าวกีฬา),Reporter,News Reporter,127,379
Product Consultant,Sales,Product Consultant,132,441
